github_org,github_stars,github_link
ray-project,41384,https://github.com/ray-project
istio,41261,https://github.com/istio
yeoman,41256,https://github.com/yeoman
dgraph-io,41255,https://github.com/dgraph-io
SeleniumHQ,41251,https://github.com/SeleniumHQ
quilljs,41127,https://github.com/quilljs
futurice,41046,https://github.com/futurice
guzzle,41019,https://github.com/guzzle
huginn,40949,https://github.com/huginn
kriasoft,40845,https://github.com/kriasoft
AdguardTeam,40576,https://github.com/AdguardTeam
heroku,40386,https://github.com/heroku
NixOS,40359,https://github.com/NixOS
jitsi,40352,https://github.com/jitsi
go-gorm,40234,https://github.com/go-gorm
linuxserver,40219,https://github.com/linuxserver
powerline,39810,https://github.com/powerline
rubocop,39461,https://github.com/rubocop
gulpjs,39370,https://github.com/gulpjs
sourcegraph,39358,https://github.com/sourcegraph
clojure,39329,https://github.com/clojure
cockroachdb,39299,https://github.com/cockroachdb
getlantern,39265,https://github.com/getlantern
SimplifyJobs,39161,https://github.com/SimplifyJobs
parse-community,39046,https://github.com/parse-community
tastejs,39034,https://github.com/tastejs
Consensys,39018,https://github.com/Consensys
AFNetworking,39017,https://github.com/AFNetworking
spring-attic,38595,https://github.com/spring-attic
SheetJS,38291,https://github.com/SheetJS
layui,38102,https://github.com/layui
vim,38000,https://github.com/vim
algolia,37990,https://github.com/algolia
rethinkdb,37866,https://github.com/rethinkdb
odoo,37820,https://github.com/odoo
SnapKit,37788,https://github.com/SnapKit
zalando,37647,https://github.com/zalando
filamentgroup,37534,https://github.com/filamentgroup
exacity,37513,https://github.com/exacity
impress,37492,https://github.com/impress
docker-library,37347,https://github.com/docker-library
metabase,37331,https://github.com/metabase
gofiber,37157,https://github.com/gofiber
bitwarden,36858,https://github.com/bitwarden
hyperledger,36774,https://github.com/hyperledger
mitmproxy,36763,https://github.com/mitmproxy
FreeCodeCampChina,36756,https://github.com/FreeCodeCampChina
tmux-plugins,36595,https://github.com/tmux-plugins
beego,36549,https://github.com/beego
xamarin,36365,https://github.com/xamarin
bumptech,36361,https://github.com/bumptech
QSCTech,36348,https://github.com/QSCTech
rabbitmq,36320,https://github.com/rabbitmq
rollup,36296,https://github.com/rollup
googlecreativelab,36195,https://github.com/googlecreativelab
cli,36131,https://github.com/cli
nats-io,36043,https://github.com/nats-io
GitbookIO,35933,https://github.com/GitbookIO
open-guides,35837,https://github.com/open-guides
standard,35470,https://github.com/standard
sass,35420,https://github.com/sass
aliyun,35405,https://github.com/aliyun
stanfordnlp,35359,https://github.com/stanfordnlp
mybatis,35325,https://github.com/mybatis
lapce,35281,https://github.com/lapce
Polymer,35142,https://github.com/Polymer
brave,34974,https://github.com/brave
h2oai,34820,https://github.com/h2oai
naver,34811,https://github.com/naver
pinterest,34805,https://github.com/pinterest
codepath,34751,https://github.com/codepath
matplotlib,34744,https://github.com/matplotlib
WICG,34623,https://github.com/WICG
BVLC,34187,https://github.com/BVLC
AlloyTeam,34176,https://github.com/AlloyTeam
googlesamples,33952,https://github.com/googlesamples
quantopian,33893,https://github.com/quantopian
date-fns,33750,https://github.com/date-fns
xmartlabs,33654,https://github.com/xmartlabs
netty,33631,https://github.com/netty
swc-project,33499,https://github.com/swc-project
naptha,33460,https://github.com/naptha
aria2,33328,https://github.com/aria2
PHPOffice,33270,https://github.com/PHPOffice
yiisoft,33248,https://github.com/yiisoft
codemirror,33076,https://github.com/codemirror
cookiecutter,32958,https://github.com/cookiecutter
stripe,32945,https://github.com/stripe
phoenixframework,32859,https://github.com/phoenixframework
cncf,32784,https://github.com/cncf
processing,32733,https://github.com/processing
XX-net,32687,https://github.com/XX-net
matrix-org,32682,https://github.com/matrix-org
tmux,32672,https://github.com/tmux
openshift,32619,https://github.com/openshift
CMU-Perceptual-Comput...,32613,https://github.com/CMU-Perceptual-Computing-Lab
NativeScript,32439,https://github.com/NativeScript
ziglang,32431,https://github.com/ziglang
appium,32412,https://github.com/appium
paritytech,32411,https://github.com/paritytech
mono,32405,https://github.com/mono
zeromq,32362,https://github.com/zeromq
slackhq,32311,https://github.com/slackhq
kivy,32303,https://github.com/kivy
zxing,32139,https://github.com/zxing
request,32119,https://github.com/request
phpDocumentor,32088,https://github.com/phpDocumentor
icsharpcode,32013,https://github.com/icsharpcode
usablica,31979,https://github.com/usablica
emberjs,31939,https://github.com/emberjs
dart-lang,31894,https://github.com/dart-lang
balderdashy,31882,https://github.com/balderdashy
DataDog,31827,https://github.com/DataDog
jhipster,31826,https://github.com/jhipster
react-boilerplate,31711,https://github.com/react-boilerplate
conventional-changelog,31630,https://github.com/conventional-changelog
labstack,31564,https://github.com/labstack
browserify,31492,https://github.com/browserify
envoyproxy,31457,https://github.com/envoyproxy
aio-libs,31393,https://github.com/aio-libs
trustedsec,31350,https://github.com/trustedsec
vapor,31192,https://github.com/vapor
nylas,31160,https://github.com/nylas
geekcompany,31026,https://github.com/geekcompany
celery,31017,https://github.com/celery
GetStream,30958,https://github.com/GetStream
certbot,30940,https://github.com/certbot
sqlmapproject,30811,https://github.com/sqlmapproject
invertase,30731,https://github.com/invertase
cocos2d,30726,https://github.com/cocos2d
containerd,30431,https://github.com/containerd
ethz-asl,30364,https://github.com/ethz-asl
pytest-dev,30204,https://github.com/pytest-dev
balena-io,30187,https://github.com/balena-io
electronicarts,30137,https://github.com/electronicarts
CocoaPods,30053,https://github.com/CocoaPods
dokku,30035,https://github.com/dokku
eggjs,29954,https://github.com/eggjs
openwrt,29929,https://github.com/openwrt
databricks,29908,https://github.com/databricks
postmanlabs,29907,https://github.com/postmanlabs
ajaxorg,29864,https://github.com/ajaxorg
learn-anything,29858,https://github.com/learn-anything
libgdx,29802,https://github.com/libgdx
Esri,29612,https://github.com/Esri
gruntjs,29425,https://github.com/gruntjs
elsewhencode,29360,https://github.com/elsewhencode
primer,29328,https://github.com/primer
XiaoMi,29278,https://github.com/XiaoMi
arduino,29184,https://github.com/arduino
spring-cloud,29178,https://github.com/spring-cloud
ReactiveCocoa,29145,https://github.com/ReactiveCocoa
eslint,29124,https://github.com/eslint
antlr,29087,https://github.com/antlr
BishopFox,28970,https://github.com/BishopFox
OAI,28931,https://github.com/OAI
bbc,28916,https://github.com/bbc
redox-os,28908,https://github.com/redox-os
AI4Finance-Foundation,28789,https://github.com/AI4Finance-Foundation
llvm,28777,https://github.com/llvm
parallax,28741,https://github.com/parallax
PyCQA,28586,https://github.com/PyCQA
gchq,28544,https://github.com/gchq
transloadit,28516,https://github.com/transloadit
instillai,28392,https://github.com/instillai
TypeStrong,28392,https://github.com/TypeStrong
qbittorrent,28341,https://github.com/qbittorrent
AvaloniaUI,28303,https://github.com/AvaloniaUI
codex-team,28292,https://github.com/codex-team
